Doc&Category, Element ID, Porperty, Number Value,String Value 
8,939683,柱样式@19,0,
8,939683,面积@1,32.4,
8,939683,底部偏移@19,0,
8,939683,柱定位标记@19,,C-2
8,939683,结构材质@5,,Concrete - Cast-in-Place Concrete
8,939683,顶部标高@19,,L8
8,939683,体积@1,22.97,
8,939683,类型@-1,,18"
8,939683,类型 ID@-1,,18"
8,939683,长度@1,14,
8,939683,标高@19,,L7
8,939683,类型名称@0,,18"
8,939683,部件代码@0,,B10
8,939683,横断面形状@12,0,
8,939683,b@1,1.5,
8,939685,顶部标高@19,,L8
8,939685,启用分析模型@12,1,
8,939685,结构材质@5,,Concrete - Cast-in-Place Concrete
8,939685,长度@1,14,
8,939685,族@-1,,18"
8,939685,底部标高@19,,L7
8,939685,柱定位标记@19,,B-5
8,939685,族与类型@-1,,18"
8,939685,类型 ID@-1,,18"
8,939685,顶部偏移@19,0,
8,939685,类型@-1,,18"
8,939685,钢筋保护层 - 其他面@12,,Rebar Cover 1
8,939685,标高@19,,L7
8,939685,底部偏移@19,0,
8,939685,创建的阶段@14,,New Construction
8,939685,随轴网移动@19,1,
8,939685,体积@1,22.97,
8,939685,柱样式@19,0,
8,939685,面积@1,32.4,
8,939685,类型名称@0,,18"
8,939685,部件代码@0,,B10
8,939685,横断面形状@12,0,
8,939685,b@1,1.5,
8,939687,顶部标高@19,,L8
8,939687,结构材质@5,,Concrete - Cast-in-Place Concrete
8,939687,随轴网移动@19,1,
8,939687,启用分析模型@12,1,
8,939687,体积@1,22.97,
8,939687,面积@1,32.39,
8,939687,底部标高@19,,L7
8,939687,底部偏移@19,0,
8,939687,类型@-1,,18"
8,939687,创建的阶段@14,,New Construction
8,939687,族与类型@-1,,18"
8,939687,顶部偏移@19,0,
8,939687,标高@19,,L7
8,939687,柱定位标记@19,,B-4
8,939687,族@-1,,18"
8,939687,柱样式@19,0,
8,939687,钢筋保护层 - 其他面@12,,Rebar Cover 1
8,939687,类型 ID@-1,,18"
8,939687,长度@1,14,
8,939687,类型名称@0,,18"
8,939687,部件代码@0,,B10
8,939687,横断面形状@12,0,
8,939687,b@1,1.5,
8,939689,底部偏移@19,0,
8,939689,族@-1,,18"
8,939689,创建的阶段@14,,New Construction
8,939689,顶部标高@19,,L8
8,939689,底部标高@19,,L7
8,939689,柱定位标记@19,,B-3
8,939689,随轴网移动@19,1,
8,939689,类型@-1,,18"
8,939689,启用分析模型@12,1,
8,939689,长度@1,14,
8,939689,顶部偏移@19,0,
8,939689,结构材质@5,,Concrete - Cast-in-Place Concrete
8,939689,标高@19,,L7
8,939689,柱样式@19,0,
8,939689,体积@1,22.97,
8,939689,钢筋保护层 - 其他面@12,,Rebar Cover 1
8,939689,族与类型@-1,,18"
8,939689,面积@1,32.4,
8,939689,类型 ID@-1,,18"
8,939689,类型名称@0,,18"
